符号/键,位置(路径:行),现行值,单位,坐标系/归一化,精度要求,有效有限域,来源现状,出处,处置,适用域,备注
(无名),lib/infrastructure/acr/scheduler/dispatcher.cpp:2309,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/scheduler/dispatcher.cpp:2310,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
fixed_tail_threshold,lib/infrastructure/acr/scheduler/dispatcher.hpp:56,0.7,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
cpu_measured_ns_per_item,lib/infrastructure/acr/scheduler/dispatcher.hpp:76,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
gpu_measured_ns_per_item,lib/infrastructure/acr/scheduler/dispatcher.hpp:77,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
benchmark_predicted_ms,lib/infrastructure/acr/scheduler/dispatcher.hpp:194,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
cpu_fixed_ns,lib/infrastructure/acr/scheduler/mixed_route_planner.cpp:46,1000.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
gpu_fixed_ns,lib/infrastructure/acr/scheduler/mixed_route_planner.cpp:48,1000.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/scheduler/mixed_route_planner.cpp:49,1000.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
has_measured,lib/infrastructure/acr/scheduler/mixed_route_planner.cpp:102,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/scheduler/mixed_route_planner.cpp:116,10.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
other_per_item,lib/infrastructure/acr/scheduler/mixed_route_planner.cpp:117,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/scheduler/mixed_route_planner.cpp:118,10.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/scheduler/mixed_route_planner.cpp:131,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
cpu_ns_per_item,lib/infrastructure/acr/scheduler/mixed_route_planner.hpp:30,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
gpu_ns_per_item,lib/infrastructure/acr/scheduler/mixed_route_planner.hpp:31,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
gpu_fixed_ns,lib/infrastructure/acr/scheduler/mixed_route_planner.hpp:32,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
cpu_fixed_ns,lib/infrastructure/acr/scheduler/mixed_route_planner.hpp:33,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
transfer_s,lib/infrastructure/acr/scheduler/queue_aware.cpp:18,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/scheduler/queue_aware.cpp:19,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
gpu_transfer_s,lib/infrastructure/acr/scheduler/queue_aware.cpp:51,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/scheduler/queue_aware.cpp:52,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/scheduler/queue_aware.cpp:58,0.5,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
bandwidth_gbps,lib/infrastructure/acr/scheduler/queue_aware.hpp:22,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
compute_per_chunk_ns,lib/infrastructure/acr/scheduler/queue_aware.hpp:30,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
merge_per_chunk_ns,lib/infrastructure/acr/scheduler/queue_aware.hpp:31,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/schemas/compute_config.example.yaml:20,0.95,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/schemas/compute_config.example.yaml:21,0.95,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/classic_common.hpp:39,1.0;9007199254740992.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/classic_common.hpp:64,1.0;9007199254740992.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
max_abs,lib/infrastructure/acr/tests/classic/classic_common.hpp:89,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
max_rel,lib/infrastructure/acr/tests/classic/classic_common.hpp:90,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
rmse,lib/infrastructure/acr/tests/classic/classic_common.hpp:91,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
sum_sq,lib/infrastructure/acr/tests/classic/classic_common.hpp:98,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
rmse,lib/infrastructure/acr/tests/classic/classic_common.hpp:111,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
max_rel,lib/infrastructure/acr/tests/classic/classic_common.hpp:126,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
rmse,lib/infrastructure/acr/tests/classic/classic_common.hpp:127,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
median_ms,lib/infrastructure/acr/tests/classic/classic_common.hpp:134,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
p95_ms,lib/infrastructure/acr/tests/classic/classic_common.hpp:135,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
idx,lib/infrastructure/acr/tests/classic/classic_common.hpp:159,0.95,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
p95_ms,lib/infrastructure/acr/tests/classic/classic_common.hpp:163,1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
max_abs,lib/infrastructure/acr/tests/classic/classic_common.hpp:178,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
max_rel,lib/infrastructure/acr/tests/classic/classic_common.hpp:179,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
rmse,lib/infrastructure/acr/tests/classic/classic_common.hpp:180,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
median_ms,lib/infrastructure/acr/tests/classic/classic_common.hpp:181,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
p95_ms,lib/infrastructure/acr/tests/classic/classic_common.hpp:182,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
max_abs,lib/infrastructure/acr/tests/classic/cpu_partition_coverage.cpp:79,1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
max_rel,lib/infrastructure/acr/tests/classic/cpu_partition_coverage.cpp:80,0.1;0.3;0.5;1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
devices,lib/infrastructure/acr/tests/classic/cpu_partition_coverage.cpp:97,50.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
max_abs,lib/infrastructure/acr/tests/classic/cpu_partition_coverage.cpp:120,1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
max_abs,lib/infrastructure/acr/tests/classic/cpu_partition_coverage.cpp:164,1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
devices,lib/infrastructure/acr/tests/classic/cpu_partition_coverage.cpp:186,50.0;80.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
max_abs,lib/infrastructure/acr/tests/classic/cpu_partition_coverage.cpp:207,1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
x,lib/infrastructure/acr/tests/classic/e01_memory.cpp:25,1.0;2.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
s,lib/infrastructure/acr/tests/classic/e01_memory.cpp:36,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e01_memory.cpp:54,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
ok,lib/infrastructure/acr/tests/classic/e01_memory.cpp:65,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
actual,lib/infrastructure/acr/tests/classic/e01_memory.cpp:76,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
Range1D,lib/infrastructure/acr/tests/classic/e01_memory.cpp:78,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
max_rel,lib/infrastructure/acr/tests/classic/e01_memory.cpp:85,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e01_memory.cpp:94,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
ok,lib/infrastructure/acr/tests/classic/e01_memory.cpp:105,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e01_memory.cpp:112,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
ok,lib/infrastructure/acr/tests/classic/e01_memory.cpp:125,1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
x,lib/infrastructure/acr/tests/classic/e02_axpy.cpp:20,1.0;2.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
x,lib/infrastructure/acr/tests/classic/e02_axpy.cpp:24,1.0;2.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
ok,lib/infrastructure/acr/tests/classic/e02_axpy.cpp:44,2.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
ok,lib/infrastructure/acr/tests/classic/e02_axpy.cpp:66,2.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e02_axpy.cpp:73,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
ok,lib/infrastructure/acr/tests/classic/e02_axpy.cpp:85,2.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
ok,lib/infrastructure/acr/tests/classic/e02_axpy.cpp:106,1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
x,lib/infrastructure/acr/tests/classic/e03_dot.cpp:21,1.0;2.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
x,lib/infrastructure/acr/tests/classic/e03_dot.cpp:25,1.0;2.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
ref,lib/infrastructure/acr/tests/classic/e03_dot.cpp:33,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
actual,lib/infrastructure/acr/tests/classic/e03_dot.cpp:36,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
Range1D,lib/infrastructure/acr/tests/classic/e03_dot.cpp:38,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
max_rel,lib/infrastructure/acr/tests/classic/e03_dot.cpp:45,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
ref,lib/infrastructure/acr/tests/classic/e03_dot.cpp:58,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
actual,lib/infrastructure/acr/tests/classic/e03_dot.cpp:61,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
Range1D,lib/infrastructure/acr/tests/classic/e03_dot.cpp:63,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
max_rel,lib/infrastructure/acr/tests/classic/e03_dot.cpp:70,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
ref,lib/infrastructure/acr/tests/classic/e03_dot.cpp:81,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
actual,lib/infrastructure/acr/tests/classic/e03_dot.cpp:84,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
Range1D,lib/infrastructure/acr/tests/classic/e03_dot.cpp:86,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
max_rel,lib/infrastructure/acr/tests/classic/e03_dot.cpp:93,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
actual,lib/infrastructure/acr/tests/classic/e03_dot.cpp:107,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
max_rel,lib/infrastructure/acr/tests/classic/e03_dot.cpp:117,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
sum_sq,lib/infrastructure/acr/tests/classic/e03_dot.cpp:128,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
actual,lib/infrastructure/acr/tests/classic/e03_dot.cpp:132,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
Range1D,lib/infrastructure/acr/tests/classic/e03_dot.cpp:134,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
max_rel,lib/infrastructure/acr/tests/classic/e03_dot.cpp:142,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e04_transpose.cpp:22,1.0;2.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e04_transpose.cpp:58,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e04_transpose.cpp:130,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e05_convolution.cpp:61,0.0f;1.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e05_convolution.cpp:68,1.0;2.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e05_convolution.cpp:83,0.0;1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e05_convolution.cpp:90,1.0;2.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
v,lib/infrastructure/acr/tests/classic/e05_convolution.cpp:124,1.0;2.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
sigma,lib/infrastructure/acr/tests/classic/e05_convolution.cpp:132,3.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
g,lib/infrastructure/acr/tests/classic/e05_convolution.cpp:137,2.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
v,lib/infrastructure/acr/tests/classic/e05_convolution.cpp:151,1.0;2.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
sum,lib/infrastructure/acr/tests/classic/e05_convolution.cpp:164,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e05_convolution.cpp:184,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e05_convolution.cpp:185,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
sum,lib/infrastructure/acr/tests/classic/e05_convolution.cpp:194,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
rmse,lib/infrastructure/acr/tests/classic/e05_convolution.cpp:223,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
tol,lib/infrastructure/acr/tests/classic/e05_convolution.cpp:226,0.5,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e05_convolution.cpp:238,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
sum,lib/infrastructure/acr/tests/classic/e05_convolution.cpp:246,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
tol,lib/infrastructure/acr/tests/classic/e05_convolution.cpp:262,0.5,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e05_convolution.cpp:273,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e05_convolution.cpp:274,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
ksum,lib/infrastructure/acr/tests/classic/e05_convolution.cpp:278,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
k,lib/infrastructure/acr/tests/classic/e05_convolution.cpp:279,1.0;2.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
sum,lib/infrastructure/acr/tests/classic/e05_convolution.cpp:297,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
tol,lib/infrastructure/acr/tests/classic/e05_convolution.cpp:318,0.5,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e06_resample.cpp:41,0.0f;1.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e06_resample.cpp:48,1.0;2.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e06_resample.cpp:63,0.0;1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e06_resample.cpp:70,1.0;2.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e06_resample.cpp:85,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e06_resample.cpp:86,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e06_resample.cpp:87,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
fx,lib/infrastructure/acr/tests/classic/e06_resample.cpp:89,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
fy,lib/infrastructure/acr/tests/classic/e06_resample.cpp:90,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
v0,lib/infrastructure/acr/tests/classic/e06_resample.cpp:102,1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
v1,lib/infrastructure/acr/tests/classic/e06_resample.cpp:103,1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e06_resample.cpp:104,1.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e06_resample.cpp:111,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e06_resample.cpp:112,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e06_resample.cpp:113,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
fx,lib/infrastructure/acr/tests/classic/e06_resample.cpp:114,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
fy,lib/infrastructure/acr/tests/classic/e06_resample.cpp:116,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
v0,lib/infrastructure/acr/tests/classic/e06_resample.cpp:129,1.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
v1,lib/infrastructure/acr/tests/classic/e06_resample.cpp:130,1.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e06_resample.cpp:131,1.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e06_resample.cpp:157,0.0f,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e06_resample.cpp:158,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
(无名),lib/infrastructure/acr/tests/classic/e06_resample.cpp:188,0.0,未标注,未标注,未标注,未标注,无来源（行内字面量，未见文档/文献锚）,,待确认,生产代码,行内浮点字面量旁表
