类型,符号或键,位点,现行值,机判档,赋值形态,该行原文
行内,,lib/algorithms/coverage/src/upm.cpp:228,0.5,④-待人工·行内值,形态不明·需人工读用途,return 0.5;
行内,,lib/algorithms/coverage/src/upm.cpp:241,0.5,④-待人工·行内值,随输入算出（可导出，但须登记导出式）,if (a <= d) return 0.5 * r * r;
行内,,lib/algorithms/coverage/src/upm.cpp:242,0.5,④-待人工·行内值,随输入算出（可导出，但须登记导出式）,return d * (a - 0.5 * d);
行内,,lib/algorithms/coverage/src/upm.cpp:247,1.0,④-待人工·行内值,形态不明·需人工读用途,if (a <= d) return 1.0;
行内,,lib/algorithms/coverage/src/upm.cpp:342,0.0,④-待人工·行内值,字面量硬编码·行内无名,"std::max(0.0, cfg.control_reliability);"
行内,,lib/algorithms/coverage/src/upm.cpp:408,0.0,④-待人工·行内值,字面量硬编码·行内无名,"m->C.assign(F, std::vector<double>(K, 0.0));"
行内,,lib/algorithms/coverage/src/upm.cpp:409,0.0,④-待人工·行内值,字面量硬编码·行内无名,"m->obs_w.assign(F, std::vector<double>(K, 0.0));"
行内,,lib/algorithms/coverage/src/upm.cpp:442,12.0,④-待人工·行内值,随输入算出（可导出，但须登记导出式）,(12.0 * nside * nside));
行内,,lib/algorithms/coverage/src/upm.cpp:563,0.0,④-待人工·行内值,字面量硬编码·行内无名,"std::vector<double> M(K, 0.0);"
行内,,lib/algorithms/coverage/src/upm.cpp:604,0.0,④-待人工·行内值,字面量硬编码·行内无名,"std::vector<double> raw_w(n_obs, 0.0);"
行内,,lib/algorithms/coverage/src/upm.cpp:606,0.0,④-待人工·行内值,字面量硬编码·行内无名,"std::vector<double> sums(K, 0.0);"
行内,,lib/algorithms/coverage/src/upm.cpp:617,0.0,④-待人工·行内值,字面量硬编码·行内无名,"std::vector<double>(K, 0.0));"
行内,,lib/algorithms/coverage/src/upm.cpp:668,0.0,④-待人工·行内值,形态不明·需人工读用途,if (s > 0.0 && std::isfinite(s))
行内,,lib/algorithms/coverage/src/upm.cpp:671,0.0,④-待人工·行内值,字面量硬编码·行内无名,raw_w[i] = 0.0;
行内,,lib/algorithms/coverage/src/upm.cpp:682,0.0,④-待人工·行内值,字面量硬编码·行内无名,"std::fill(x.begin(), x.end(), 0.0);"
行内,,lib/algorithms/coverage/src/upm.cpp:687,0.0,④-待人工·行内值,字面量硬编码·行内无名,"std::vector<double> Ap(K, 0.0);"
行内,,lib/algorithms/coverage/src/upm.cpp:716,0.0,④-待人工·行内值,字面量硬编码·行内无名,"std::vector<double> w(n_obs, 0.0);"
行内,,lib/algorithms/coverage/src/upm.cpp:793,0.0,④-待人工·行内值,字面量硬编码·行内无名,"std::vector<double> tmax((std::size_t)cworkers, 0.0);"
行内,,lib/algorithms/coverage/src/upm.cpp:915,0.0,④-待人工·行内值,字面量硬编码·行内无名,"std::vector<double> tmax((std::size_t)cworkers, 0.0);"
行内,,lib/algorithms/coverage/src/upm.cpp:933,0.0,④-待人工·行内值,字面量硬编码·行内无名,"std::vector<double> rhs(K, 0.0);"
行内,,lib/algorithms/coverage/src/upm.cpp:943,0.0,④-待人工·行内值,字面量硬编码·行内无名,m->obs_w[f][k] = 0.0;
行内,,lib/algorithms/coverage/src/upm.cpp:956,1.0,④-待人工·行内值,形态不明·需人工读用途,if (cfg.gs_damping < 1.0) {
行内,,lib/algorithms/coverage/src/upm.cpp:959,1.0,④-待人工·行内值,随输入算出（可导出，但须登记导出式）,x[k] = (1.0 - gsa) * x_old[k] + gsa * x[k];
行内,,lib/algorithms/coverage/src/upm.cpp:981,0.0,④-待人工·行内值,字面量硬编码·行内无名,"std::vector<double> rhs(K, 0.0);"
行内,,lib/algorithms/coverage/src/upm.cpp:991,0.0,④-待人工·行内值,字面量硬编码·行内无名,m->obs_w[f][k] = 0.0;
行内,,lib/algorithms/coverage/src/upm.cpp:1002,1.0,④-待人工·行内值,形态不明·需人工读用途,if (cfg.gs_damping < 1.0) {
行内,,lib/algorithms/coverage/src/upm.cpp:1005,1.0,④-待人工·行内值,随输入算出（可导出，但须登记导出式）,x[k] = (1.0 - gsa) * x_old[k] + gsa * x[k];
行内,,lib/algorithms/coverage/src/upm.cpp:1045,1.0,④-待人工·行内值,字面量硬编码·行内无名,: 1.0;
行内,,lib/algorithms/coverage/src/upm.cpp:1117,0.0,④-待人工·行内值,字面量硬编码·行内无名,"m->gauge.assign(K, 0.0);"
行内,,lib/algorithms/coverage/src/upm.cpp:1127,0.0,④-待人工·行内值,形态不明·需人工读用途,if (den > 0.0 && std::isfinite(den) && std::isfinite(num)) {
行内,,lib/algorithms/coverage/src/upm.cpp:1240,0.0,④-待人工·行内值,形态不明·需人工读用途,if (!(wi > 0.0) || !std::isfinite(wi)) continue;
行内,,lib/algorithms/coverage/src/upm.cpp:1245,0.0,④-待人工·行内值,随输入算出（可导出，但须登记导出式）,if (sig > 0.0 && std::isfinite(r)) chi2 += (r / sig) * (r / sig);
行内,,lib/algorithms/coverage/src/upm.cpp:1300,0.0,④-待人工·行内值,字面量硬编码·行内无名,"block.assign(nb * nb, 0.0);"
行内,,lib/algorithms/coverage/src/upm.cpp:1301,0.0,④-待人工·行内值,字面量硬编码·行内无名,"std::vector<double> a(nb, 0.0);"
行内,,lib/algorithms/coverage/src/upm.cpp:1303,0.0,④-待人工·行内值,字面量硬编码·行内无名,"std::fill(a.begin(), a.end(), 0.0);"
行内,,lib/algorithms/coverage/src/upm.cpp:1304,1.0,④-待人工·行内值,字面量硬编码·行内无名,a[0] = 1.0;                                   // M_k
行内,,lib/algorithms/coverage/src/upm.cpp:1305,1.0,④-待人工·行内值,字面量硬编码·行内无名,"if (col_of[j] >= 0) a[static_cast<std::size_t>(col_of[j])] = 1.0;  // C_{f,k}"
行内,,lib/algorithms/coverage/src/upm.cpp:1333,0.0,④-待人工·行内值,形态不明·需人工读用途,if (out.dof_eff > 0.0) {
行内,,lib/algorithms/coverage/src/upm.cpp:1486,0.0,④-待人工·行内值,字面量硬编码·行内无名,"if (v != 0.0) row.push_back({k, v});"
行内,,lib/algorithms/coverage/src/upm.cpp:1497,0.0,④-待人工·行内值,字面量硬编码·行内无名,"if (v != 0.0) Gj.push_back({k, v});"
行内,,lib/algorithms/coverage/src/upm.cpp:1726,0.0,④-待人工·行内值,字面量硬编码·行内无名,"m->C.assign(F, std::vector<double>(K, 0.0));"
行内,,lib/algorithms/coverage/src/upm.cpp:1755,0.0,④-待人工·行内值,字面量硬编码·行内无名,"m->gauge.assign(K, 0.0);"
行内,,lib/algorithms/coverage/src/upm.cpp:1985,0.0,④-待人工·行内值,字面量硬编码·行内无名,if (!std::isfinite(civ) || civ <= 0.0) return 2;  // 显式缺 control ivar
行内,,lib/algorithms/coverage/src/upm.cpp:1995,1.0,④-待人工·行内值,随输入算出（可导出，但须登记导出式）,(snr2 / (1.0 + snr2)) / (unc * unc);
行内,,lib/algorithms/coverage/src/upm.cpp:2082,0.0,④-待人工·行内值,字面量硬编码·行内无名,node[gy][gx] = 0.0;
行内,,lib/algorithms/coverage/src/upm.cpp:2114,0.0,④-待人工·行内值,字面量硬编码·行内无名,return node_ok[gyi][gxi] ? node[gyi][gxi] : 0.0;
行内,,lib/algorithms/coverage/src/upm.cpp:2127,0.0,④-待人工·行内值,字面量硬编码·行内无名,: 0.0;
行内,,lib/algorithms/coverage/src/upm.cpp:2130,0.0,④-待人工·行内值,字面量硬编码·行内无名,: 0.0;
行内,,lib/algorithms/coverage/src/upm.cpp:2260,0.0,④-待人工·行内值,字面量硬编码·行内无名,"evals.assign((std::size_t)(n > 0 ? n : 0), 0.0);"
行内,,lib/algorithms/coverage/src/upm.cpp:2263,0.0,④-待人工·行内值,字面量硬编码·行内无名,"V.assign((std::size_t)n * (std::size_t)n, 0.0);"
行内,,lib/algorithms/coverage/src/upm.cpp:2274,0.0,④-待人工·行内值,字面量硬编码·行内无名,if (off <= 0.0) break;
行内,,lib/algorithms/coverage/src/upm.cpp:2309,0.0,④-待人工·行内值,字面量硬编码·行内无名,A[(std::size_t)p * (std::size_t)n + (std::size_t)q] = 0.0;
行内,,lib/algorithms/coverage/src/upm.cpp:2310,0.0,④-待人工·行内值,字面量硬编码·行内无名,A[(std::size_t)q * (std::size_t)n + (std::size_t)p] = 0.0;
行内,,lib/algorithms/coverage/src/upm.cpp:2325,0.0,④-待人工·行内值,字面量硬编码·行内无名,"std::vector<double> L((std::size_t)n * (std::size_t)n, 0.0);"
行内,,lib/algorithms/coverage/src/upm.cpp:2343,0.0,④-待人工·行内值,字面量硬编码·行内无名,"std::vector<double> y((std::size_t)n, 0.0);"
行内,,lib/algorithms/coverage/src/upm.cpp:2405,0.0,④-待人工·行内值,字面量硬编码·行内无名,"H.assign(n * n, 0.0);"
行内,,lib/algorithms/coverage/src/upm.cpp:2417,1.0,④-待人工·行内值,字面量硬编码·行内无名,if (a_b >= 0) { js[nc] = a_b; ja[nc] = 1.0; ++nc; }
行内,,lib/algorithms/coverage/src/upm.cpp:2471,0.0,④-待人工·行内值,形态不明·需人工读用途,if (!(o.control_ivar > 0.0) || !std::isfinite(o.control_ivar)) { delete m; return 2; }
行内,,lib/algorithms/coverage/src/upm.cpp:2481,0.0,④-待人工·行内值,形态不明·需人工读用途,if (cfg.k_corr > 0.0) {
行内,,lib/algorithms/coverage/src/upm.cpp:2484,1.0,④-待人工·行内值,形态不明·需人工读用途,if (cfg.k_corr < 1.0) { delete m; return 7; }
行内,,lib/algorithms/coverage/src/upm.cpp:2485,1.0,④-待人工·行内值,字面量硬编码·行内无名,if (cfg.k_corr == 1.0) { delete m; return 7; }   // 忽略相关，禁
行内,,lib/algorithms/coverage/src/upm.cpp:2603,0.0,④-待人工·行内值,字面量硬编码·行内无名,"m->theta_full.assign(m->n_full, 0.0);"
行内,,lib/algorithms/coverage/src/upm.cpp:2612,0.0,④-待人工·行内值,字面量硬编码·行内无名,m->theta_full[p] = (sw > 0.0) ? sy / sw : 0.0;
行内,,lib/algorithms/coverage/src/upm.cpp:2617,0.0,④-待人工·行内值,字面量硬编码·行内无名,m->theta_full[np + nf + i] = 0.0;
行内,,lib/algorithms/coverage/src/upm.cpp:2629,0.0,④-待人工·行内值,字面量硬编码·行内无名,"std::vector<double> H(m->n_free * m->n_free, 0.0);"
行内,,lib/algorithms/coverage/src/upm.cpp:2630,0.0,④-待人工·行内值,字面量硬编码·行内无名,"std::vector<double> gv(m->n_free, 0.0);"
行内,,lib/algorithms/coverage/src/upm.cpp:2646,1.0,④-待人工·行内值,字面量硬编码·行内无名,if (a_b >= 0) { js[nc] = a_b; ja[nc] = 1.0; ++nc; }
行内,,lib/algorithms/coverage/src/upm.cpp:2654,1.0,④-待人工·行内值,随输入算出（可导出，但须登记导出式）,H[j * m->n_free + j] *= (1.0 + lambda);
行内,,lib/algorithms/coverage/src/upm.cpp:2657,10.0,④-待人工·行内值,字面量硬编码·行内无名,lambda *= 10.0;
行内,,lib/algorithms/coverage/src/upm.cpp:2676,10.0,④-待人工·行内值,字面量硬编码·行内无名,lambda *= 10.0;
行内,,lib/algorithms/coverage/src/upm.cpp:2684,0.0,④-待人工·行内值,字面量硬编码·行内无名,"std::vector<double> Hp(m->n_free * m->n_free, 0.0);"
行内,,lib/algorithms/coverage/src/upm.cpp:2685,0.0,④-待人工·行内值,字面量硬编码·行内无名,"std::vector<double> gvp(m->n_free, 0.0);"
行内,,lib/algorithms/coverage/src/upm.cpp:2701,1.0,④-待人工·行内值,字面量硬编码·行内无名,if (a_b >= 0) { js[nc] = a_b; ja[nc] = 1.0; ++nc; }
行内,,lib/algorithms/coverage/src/upm.cpp:2750,0.0,④-待人工·行内值,字面量硬编码·行内无名,"std::vector<double> Cth((std::size_t)n * n, 0.0);"
行内,,lib/algorithms/coverage/src/upm.cpp:2758,1.0,④-待人工·行内值,随输入算出（可导出，但须登记导出式）,sum += evecs[a * n + k] * (1.0 / ek) * evecs[b * n + k];
行内,,lib/algorithms/coverage/src/upm.cpp:2882,0.0,④-待人工·行内值,字面量硬编码·行内无名,if (jai == 0.0) continue;
行内,,lib/algorithms/coverage/src/upm.cpp:2928,0.0,④-待人工·行内值,形态不明·需人工读用途,if (cfg.k_corr > 0.0) {
行内,,lib/algorithms/coverage/src/upm.cpp:2961,0.0,④-待人工·行内值,形态不明·需人工读用途,if (!(sigma_bg > 0.0) || !std::isfinite(sigma_bg)) return 1;
行内,,lib/algorithms/coverage/src/upm.cpp:2962,0.0,④-待人工·行内值,形态不明·需人工读用途,if (!(k_corr > 0.0) || !std::isfinite(k_corr)) return 1;
行内,,lib/algorithms/coverage/src/upm.cpp:2966,1.0,④-待人工·行内值,形态不明·需人工读用途,if (k_corr < 1.0) return 1;
行内,,lib/algorithms/coverage/src/upm.cpp:2967,1.0,④-待人工·行内值,字面量硬编码·行内无名,if (k_corr == 1.0) return 2;                       // 忽略相关 → REJECT
行内,,lib/algorithms/coverage/src/upm.cpp:2974,0.0,④-待人工·行内值,形态不明·需人工读用途,if (!(cv > 0.0) || !std::isfinite(cv)) return 1;
行内,,lib/algorithms/coverage/tools/calibrated_pair_diag.cpp:47,0.0,④-待人工·行内值,形态不明·需人工读用途,if (v.empty()) return 0.0;
行内,,lib/algorithms/coverage/tools/calibrated_pair_diag.cpp:60,1.482602218505602,④-待人工·行内值,随输入算出（可导出，但须登记导出式）,"return 1.482602218505602 * mad_of(v, med);"
行内,,lib/algorithms/coverage/tools/calibrated_pair_diag.cpp:64,0.0,④-待人工·行内值,形态不明·需人工读用途,if (v.empty()) return 0.0;
行内,,lib/algorithms/coverage/tools/rejection_cli.cpp:223,0.1,④-待人工·行内值,字面量硬编码·行内无名,"sig(""percentile.high_fraction"", 0.1);"
行内,,lib/algorithms/coverage/tools/stage2.cpp:411,0.0,④-待人工·行内值,形态不明·需人工读用途,if (o.ivar <= 0.0 || !std::isfinite(o.ivar)) continue;
行内,,lib/algorithms/coverage/tools/stage2.cpp:491,0.0,④-待人工·行内值,形态不明·需人工读用途,geo.pointing_spacing_deg > 0.0 &&
行内,,lib/algorithms/coverage/tools/stage2.cpp:492,0.0,④-待人工·行内值,形态不明·需人工读用途,geo.sample_pitch_deg > 0.0 &&
行内,,lib/algorithms/coverage/tools/stage2.cpp:493,0.0,④-待人工·行内值,形态不明·需人工读用途,geo.pixel_scale_arcsec > 0.0);
行内,,lib/algorithms/coverage/tools/stage2.cpp:496,0.0,④-待人工·行内值,形态不明·需人工读用途,if (!(std::isfinite(px_scale) && px_scale > 0.0) && !cfg.hips.empty()) {
行内,,lib/algorithms/coverage/tools/stage2.cpp:635,0.0,④-待人工·行内值,形态不明·需人工读用途,std::isfinite(g) && g > 0.0)
行内,,lib/algorithms/coverage/tools/stage2.cpp:657,0.01,④-待人工·行内值,形态不明·需人工读用途,if (dev > 0.01) {
行内,,lib/algorithms/coverage/tools/stage2.cpp:800,9.73,④-待人工·行内值,形态不明·需人工读用途,"""(legacy_allow_weight_fallback 已按 §9.73 A44 删除)"");"
行内,,lib/algorithms/coverage/tools/stage2.cpp:823,0.0,④-待人工·行内值,字面量硬编码·行内无名,"filter.empty() ? nullptr : filter.c_str(), 0.0, nullptr, 0);"
行内,,lib/algorithms/coverage/tools/stage2.cpp:1095,0.0,④-待人工·行内值,字面量硬编码·行内无名,"buf_val.assign(cap, 0.0);"
行内,,lib/algorithms/coverage/tools/stage2.cpp:1096,0.0,④-待人工·行内值,字面量硬编码·行内无名,"buf_w.assign(cap, 0.0);"
行内,,lib/algorithms/coverage/tools/stage2.cpp:1097,0.0,④-待人工·行内值,字面量硬编码·行内无名,"buf_sup.assign(cap, 0.0);"
行内,,lib/algorithms/coverage/tools/stage2.cpp:1171,1.0,④-待人工·行内值,字面量硬编码·行内无名,if (sky_guard || gain != 1.0) {
行内,,lib/algorithms/coverage/tools/stage2.cpp:1253,0.0,④-待人工·行内值,字面量硬编码·行内无名,ok ? (double)out_sup_f32[i] * A_cell : 0.0;
行内,,lib/algorithms/coverage/tools/stage2.cpp:1255,0.0,④-待人工·行内值,字面量硬编码·行内无名,ok ? (double)out_sig_f32[i] * area : 0.0;
行内,,lib/algorithms/coverage/tools/stage2.cpp:1527,1.0,④-待人工·行内值,字面量硬编码·行内无名,if (sky_guard || gain != 1.0) {
行内,,lib/algorithms/drizzle/healpix_drizzle/astro_sphere_sink.cpp:134,0.0,④-待人工·行内值,形态不明·需人工读用途,if (std::isfinite(scale_arcsec) && scale_arcsec > 0.0) {
行内,,lib/algorithms/drizzle/healpix_drizzle/astro_sphere_sink.cpp:180,0.0,④-待人工·行内值,字面量硬编码·行内无名,if ((double)acc.sumArea > 0.0 && (double)acc.sumNorm <= 0.0)
行内,,lib/algorithms/drizzle/healpix_drizzle/astro_sphere_sink.cpp:187,1.0,④-待人工·行内值,形态不明·需人工读用途,? 1.0
行内,,lib/algorithms/drizzle/healpix_drizzle/astro_sphere_sink.cpp:332,12.0,④-待人工·行内值,随输入算出（可导出，但须登记导出式）,(12.0 * (double)nside * (double)nside);
行内,,lib/algorithms/drizzle/healpix_drizzle/astro_sphere_sink.cpp:366,0.0,④-待人工·行内值,字面量硬编码·行内无名,"filter_passband.c_str(), 0.0, nullptr, 0);"
行内,,lib/algorithms/drizzle/healpix_drizzle/astro_sphere_sink.cpp:429,0.0,④-待人工·行内值,字面量硬编码·行内无名,"fr[""snr_reference""].value(fref_key, 0.0);"
行内,,lib/algorithms/drizzle/healpix_drizzle/astro_sphere_sink.cpp:430,0.0,④-待人工·行内值,形态不明·需人工读用途,if (!std::isfinite(fv) || !(fv > 0.0)) continue;
行内,,lib/algorithms/drizzle/healpix_drizzle/astro_sphere_sink.cpp:456,0.0,④-待人工·行内值,形态不明·需人工读用途,if (std::isfinite(snr) && snr > 0.0 &&
行内,,lib/algorithms/drizzle/healpix_drizzle/astro_sphere_sink.cpp:457,0.0,④-待人工·行内值,形态不明·需人工读用途,std::isfinite(fref) && fref > 0.0 &&
行内,,lib/algorithms/drizzle/healpix_drizzle/astro_sphere_sink.cpp:542,255.0,④-待人工·行内值,随输入算出（可导出，但须登记导出式）,area_buf[local] = (float)(((double)q / 255.0) * a_cell);
行内,,lib/algorithms/drizzle/healpix_drizzle/astro_sphere_sink.cpp:613,12.2,④-待人工·行内值,随输入算出（可导出，但须登记导出式）,""" skipped(no-data)=%llu (DATA-P1-HIPS §12.2)\n"","
行内,,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:437,0.9,④-待人工·行内值,形态不明·需人工读用途,if (std::fabs(tb.center.x) < 0.9) {
行内,,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:521,-1.0,④-待人工·行内值,随输入算出（可导出，但须登记导出式）,return -1.0;
行内,,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:538,0.0,④-待人工·行内值,字面量硬编码·行内无名,if (!std::isfinite(local_scale) || local_scale <= 0.0) {
行内,,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:539,-1.0,④-待人工·行内值,随输入算出（可导出，但须登记导出式）,return -1.0;
行内,,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:600,0.0,④-待人工·行内值,形态不明·需人工读用途,if (local_scale < 0.0) {
行内,,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:700,0.0,④-待人工·行内值,字面量硬编码·行内无名,if (finest_arcsec >= 1e30 || finest_arcsec <= 0.0) {
行内,,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:1116,0.0,④-待人工·行内值,字面量硬编码·行内无名,if (acc.sumFlux == 0.0 && acc.sumArea <= 0.0) continue;
行内,,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:1387,1.0,④-待人工·行内值,字面量硬编码·行内无名,if (config.pixfrac != 1.0) {
行内,,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:1389,0.5,④-待人工·行内值,随输入算出（可导出，但须登记导出式）,"{px - 0.5, py - 0.5},"
行内,,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:1390,0.5,④-待人工·行内值,随输入算出（可导出，但须登记导出式）,"{px + 0.5, py - 0.5},"
行内,,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:1391,0.5,④-待人工·行内值,随输入算出（可导出，但须登记导出式）,"{px + 0.5, py + 0.5},"
行内,,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:1392,0.5,④-待人工·行内值,随输入算出（可导出，但须登记导出式）,"{px - 0.5, py + 0.5}"
行内,,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:1827,0.0,④-待人工·行内值,字面量硬编码·行内无名,"std::vector<double> prof_geom_tl(static_cast<size_t>(num_threads), 0.0);"
行内,,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:1828,0.0,④-待人工·行内值,字面量硬编码·行内无名,"std::vector<double> prof_wcs_tl(static_cast<size_t>(num_threads), 0.0);"
行内,,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:1830,0.0,④-待人工·行内值,字面量硬编码·行内无名,"std::vector<double> profP_accum(static_cast<size_t>(num_threads), 0.0);"
行内,,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:1831,0.0,④-待人工·行内值,字面量硬编码·行内无名,"std::vector<double> profP_merge_wait(static_cast<size_t>(num_threads), 0.0);"
行内,,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:1832,0.0,④-待人工·行内值,字面量硬编码·行内无名,"std::vector<double> profP_merge_work(static_cast<size_t>(num_threads), 0.0);"
行内,,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:2010,0.5,④-待人工·行内值,随输入算出（可导出，但须登记导出式）,"wcs.pixelToSky(vx - 0.5, y - 0.5, bot_ra[static_cast<size_t>(vx)], bot_dec[static_cast<size_t>(vx)]);"
行内,,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:2011,0.5,④-待人工·行内值,随输入算出（可导出，但须登记导出式）,"wcs.pixelToSky(vx - 0.5, y + 0.5, top_ra[static_cast<size_t>(vx)], top_dec[static_cast<size_t>(vx)]);"
行内,,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:2252,0.0,④-待人工·行内值,字面量硬编码·行内无名,"std::vector<double> cand_tl(static_cast<size_t>(num_threads), 0.0);"
行内,,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:2253,0.0,④-待人工·行内值,字面量硬编码·行内无名,"std::vector<double> overlap_tl(static_cast<size_t>(num_threads), 0.0);"
行内,,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:2311,0.0,④-待人工·行内值,形态不明·需人工读用途,"0.0, (unsigned)n_stripes, num_threads, canonicalTiles.size());"
行内,,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:2323,0.0,④-待人工·行内值,字面量硬编码·行内无名,? (double)totalOps.true_overlaps / (double)totalOps.candidates : 0.0;
行内,,lib/algorithms/drizzle/healpix_drizzle/drizzle_engine.cpp:2326,0.0,④-待人工·行内值,字面量硬编码·行内无名,(double)(totalOps.sh_calls + totalOps.quick_rejects) : 0.0;
行内,,lib/algorithms/drizzle/healpix_drizzle/fits_reader.cpp:68,0.0,④-待人工·行内值,形态不明·需人工读用途,if (t.empty()) return 0.0;
行内,,lib/algorithms/drizzle/healpix_drizzle/fits_reader.cpp:355,0.0,④-待人工·行内值,字面量硬编码·行内无名,if (!has_cd1_2) cd[1] = 0.0;
行内,,lib/algorithms/drizzle/healpix_drizzle/fits_reader.cpp:356,0.0,④-待人工·行内值,字面量硬编码·行内无名,if (!has_cd2_1) cd[2] = 0.0;
行内,,lib/algorithms/drizzle/healpix_drizzle/healpix_core.h:54,360.0,④-待人工·行内值,字面量硬编码·行内无名,if (ra < 0) ra += 360.0;
行内,,lib/algorithms/drizzle/healpix_drizzle/hp_drizzle_api.cpp:324,0.0,④-待人工·行内值,字面量硬编码·行内无名,if (!std::isfinite(config.photscal) || config.photscal <= 0.0) {
行内,,lib/algorithms/drizzle/healpix_drizzle/hp_drizzle_api.cpp:437,0.0,④-待人工·行内值,字面量硬编码·行内无名,} else if (has_cdelt && crval1 != 0.0 && crval2 != 0.0) {
行内,,lib/algorithms/drizzle/healpix_drizzle/hp_drizzle_api.cpp:963,0.0,④-待人工·行内值,字面量硬编码·行内无名,if (!std::isfinite(photscal) || photscal <= 0.0) {
行内,,lib/algorithms/drizzle/healpix_drizzle/hp_drizzle_api.cpp:991,5.3,④-待人工·行内值,形态不明·需人工读用途,"""默认 FP64 (宪章 §5.3 float64 累积; 不再静默 FP32)\n"");"
行内,,lib/algorithms/drizzle/healpix_drizzle/hp_drizzle_api.cpp:1186,3600.0,④-待人工·行内值,形态不明·需人工读用途,std::fabs(img.wcs.cd[0]) * 3600.0);
行内,,lib/algorithms/drizzle/healpix_drizzle/hp_drizzle_api.cpp:1225,0.0,④-待人工·行内值,字面量硬编码·行内无名,: 0.0;
行内,,lib/algorithms/drizzle/healpix_drizzle/hp_drizzle_api.cpp:1258,0.0,④-待人工·行内值,字面量硬编码·行内无名,(double)stats.op_source_pixels : 0.0);
行内,,lib/algorithms/drizzle/healpix_drizzle/nanoflann.hpp:141,3.14159265358979323846,④-待人工·行内值,字面量硬编码·行内无名,return static_cast<T>(3.14159265358979323846);
行内,,lib/algorithms/drizzle/healpix_drizzle/poly_clip.cpp:16,180.0,④-待人工·行内值,随输入算出（可导出，但须登记导出式）,static inline double deg2rad(double deg) { return deg * M_PI / 180.0; }
行内,,lib/algorithms/drizzle/healpix_drizzle/poly_clip.cpp:17,180.0,④-待人工·行内值,随输入算出（可导出，但须登记导出式）,static inline double rad2deg(double rad) { return rad * 180.0 / M_PI; }
行内,,lib/algorithms/drizzle/healpix_drizzle/poly_clip.cpp:125,2.0,④-待人工·行内值,随输入算出（可导出，但须登记导出式）,while (ra_rad >= 2.0 * M_PI) ra_rad -= 2.0 * M_PI;
行内,,lib/algorithms/drizzle/healpix_drizzle/poly_clip.cpp:272,0.0,④-待人工·行内值,形态不明·需人工读用途,return 0.0;
行内,,lib/algorithms/drizzle/healpix_drizzle/reverse_drizzle.cpp:65,0.0,④-待人工·行内值,形态不明·需人工读用途,if (drop.size() < 3 || target.size() < 3) return 0.0;
行内,,lib/algorithms/drizzle/healpix_drizzle/reverse_drizzle.cpp:77,3.0,④-待人工·行内值,随输入算出（可导出，但须登记导出式）,"(c.y + a.y + b.y) / 3.0,"
行内,,lib/algorithms/drizzle/healpix_drizzle/reverse_drizzle.cpp:78,3.0,④-待人工·行内值,随输入算出（可导出，但须登记导出式）,(c.z + a.z + b.z) / 3.0 };
行内,,lib/algorithms/drizzle/healpix_drizzle/reverse_drizzle.cpp:105,1.0,④-待人工·行内值,字面量硬编码·行内无名,"(double)px, (double)py, 1.0, wcs_pixel_to_sky, &ctx, src_scale_rad);"
行内,,lib/algorithms/drizzle/healpix_drizzle/reverse_drizzle.cpp:170,1.0,④-待人工·行内值,声明行未见值（须读初始化处）,"for (const Vec3& v : bnd) drop.push_back(pf >= 1.0 ? v : slerp(center, v, pf));"
行内,,lib/algorithms/drizzle/healpix_drizzle/reverse_drizzle.cpp:173,0.0,④-待人工·行内值,形态不明·需人工读用途,if (drop_area <= 0.0 || !std::isfinite(drop_area)) {
行内,,lib/algorithms/drizzle/healpix_drizzle/reverse_drizzle.cpp:180,0.0,④-待人工·行内值,字面量硬编码·行内无名,if (sig == 0.0 && support <= 0.0) continue;
行内,,lib/algorithms/drizzle/healpix_drizzle/reverse_drizzle.cpp:210,1.0,④-待人工·行内值,字面量硬编码·行内无名,"(double)px, (double)py, 1.0, wcs_pixel_to_sky, &ctx,"
