符号或键,类别,位置集合（全部侧，规范化全路径:行）,现行值,单位,坐标系或归一化,精度要求,有效有限域,来源现状,出处,处置,适用域,是否已复核,冲突标记,来源成稿与条目,多侧默认值预筛（预筛已回：raw/D4-多侧默认值全表.csv）
(无名)·lib/infrastructure/cli/resource_recorder.h:328,算法,lib/infrastructure/cli/resource_recorder.h:328,.2f,—,—,见备注,输出格式,不适用（结构性常数）,—（fprintf 精度串，非数值常数）,不适用,产物文本表示,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
(无名)·lib/infrastructure/cli/resource_recorder.h:329,算法,lib/infrastructure/cli/resource_recorder.h:329,.2f,—,—,见备注,输出格式,不适用（结构性常数）,—（fprintf 精度串，非数值常数）,不适用,产物文本表示,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
(无名)·lib/infrastructure/cli/resource_recorder.h:330,算法,lib/infrastructure/cli/resource_recorder.h:330,.2f,—,—,见备注,输出格式,不适用（结构性常数）,—（fprintf 精度串，非数值常数）,不适用,产物文本表示,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
(无名)·lib/infrastructure/cli/resource_recorder.h:332,算法,lib/infrastructure/cli/resource_recorder.h:332,.2f,—,—,见备注,输出格式,不适用（结构性常数）,—（fprintf 精度串，非数值常数）,不适用,产物文本表示,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
(无名)·lib/infrastructure/cli/resource_recorder.h:333,算法,lib/infrastructure/cli/resource_recorder.h:333,.2f,—,—,见备注,输出格式,不适用（结构性常数）,—（fprintf 精度串，非数值常数）,不适用,产物文本表示,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
(无名)·lib/infrastructure/cli/resource_recorder.h:335,算法,lib/infrastructure/cli/resource_recorder.h:335,.2f,—,—,见备注,输出格式,不适用（结构性常数）,—（fprintf 精度串，非数值常数）,不适用,产物文本表示,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
(无名)·lib/infrastructure/cli/resource_recorder.h:370,算法,lib/infrastructure/cli/resource_recorder.h:370,.2f;.3f,—,—,见备注,输出格式,不适用（结构性常数）,—（fprintf 精度串，非数值常数）,不适用,产物文本表示,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
(无名)·lib/infrastructure/cli/session_commands.h:157,常数,lib/infrastructure/cli/session_commands.h:157,9.68,—,—,—,文案,不适用（结构性常数）,—（文案里的 §9.68 条款号）,不适用,注释/文案,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
(无名)·lib/infrastructure/cli/session_commands.h:187,常数,lib/infrastructure/cli/session_commands.h:187,9.68,—,—,—,文案,不适用（结构性常数）,—（filter_passband 文案里的 §9.68）,不适用,注释/文案,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
(无名)·lib/infrastructure/cli/session_commands.h:202,常数,lib/infrastructure/cli/session_commands.h:202,4.2,—,—,—,文案,不适用（结构性常数）,—（star_detection 文案里的 §4.2）,不适用,注释/文案,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
(无名)·lib/infrastructure/cli/session_commands.h:256,常数,lib/infrastructure/cli/session_commands.h:256,.20000,px,—,整数,"[1,20000]",不适用（结构性常数）,—（值域文案 1..20000 被误切为 .20000）,不适用,export 模板,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
(无名)·lib/infrastructure/cli/session_commands.h:257,常数,lib/infrastructure/cli/session_commands.h:257,.20000,px,—,整数,"[1,20000]",不适用（结构性常数）,—（同上，height_px）,不适用,export 模板,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
(无名)·lib/infrastructure/cli/session_commands.h:302,常数,lib/infrastructure/cli/session_commands.h:302,3.3,—,—,—,文案,不适用（结构性常数）,—（bitpix 文案里的 §3.3:256）,不适用,注释/文案,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
(无名)·lib/infrastructure/cli/session_commands.h:380,常数,lib/infrastructure/cli/session_commands.h:380,9.68,—,—,—,文案,不适用（结构性常数）,—（--help 文案里的 §9.68）,不适用,文案,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
(无名)·lib/infrastructure/cli/subcommand.h:149,常数,lib/infrastructure/cli/subcommand.h:149；ASTROCS_DESIGN.md,3.5,—,—,—,文案,不适用（结构性常数）,—（error 文案里的『§3.5』条款号）,不适用,预检文案,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
(无名)·lib/infrastructure/cli/subcommand.h:175,常数,lib/infrastructure/cli/subcommand.h:175；ASTROCS_DESIGN.md,3.5,—,—,—,文案,不适用（结构性常数）,—（error 文案里的『§3.5』条款号）,不适用,预检文案,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
(无名)·lib/infrastructure/cli/subcommand.h:177,常数,lib/infrastructure/cli/subcommand.h:177；ASTROCS_DESIGN.md,3.5,—,—,—,文案,不适用（结构性常数）,—（error 文案里的『§3.5』条款号）,不适用,预检文案,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
(无名)·lib/infrastructure/cli/v6_runtime_contract.h:115,常数,lib/infrastructure/cli/v6_runtime_contract.h:115；ASTROCS_DESIGN.md,3.1,—,—,—,文案,不适用（结构性常数）,—（拒绝消息串里的『ASTROCS_DESIGN.md 3.1』条款号）,不适用,拒绝文案,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
(无名)·lib/infrastructure/cli/v6_runtime_contract.h:122,常数,lib/infrastructure/cli/v6_runtime_contract.h:122,-004.1,—,—,—,文案,不适用（结构性常数）,—（拒绝消息里的控制项编号 C-004.1）,不适用,拒绝文案,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
(无名)·lib/infrastructure/cli/v6_runtime_contract.h:344,常数,lib/infrastructure/cli/v6_runtime_contract.h:344,0.0,未标注,未标注,未标注,未标注,不适用（结构性常数）,—（完备性谓词：>0 即要求正证据，方向 fail-closed）,不适用,heavy_metrics_complete,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
(无名)·lib/infrastructure/cli/v6_runtime_contract.h:345,常数,lib/infrastructure/cli/v6_runtime_contract.h:345,0.0,未标注,未标注,未标注,未标注,不适用（结构性常数）,—（同上，单线程峰值）,不适用,heavy_metrics_complete,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
(无名)·lib/infrastructure/cli/v6_runtime_contract.h:346,常数,lib/infrastructure/cli/v6_runtime_contract.h:346,0.0,未标注,未标注,未标注,未标注,不适用（结构性常数）,—（同上，wall 必须为正）,不适用,heavy_metrics_complete,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
ASTROCS_RES_HAVE_CFITSIO_LOCK_STATS,常数,lib/infrastructure/cli/resource_recorder.h:29,1,—,—,—,预处理,不适用（结构性常数）,—（#if defined 特性宏存在性哨兵）,不适用,__has_include 命中时,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
FX_SIGMA,常数,eng/tests/unit/p1_noise/adapter_test.cpp:261；docs/science/NOISE_MODEL.md:345,5.0,ADU（噪声标准差，与 FX_BG=100.0 同域）,逐像素高斯噪声夹具 σ,不适用（激励值）,>0,无（测试激励值）,无,不适用,noise 适配器 f32/f64 影子对拍的输入面,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-BD1,
ZP_k,常数,eng/tests/unit/p1snr/p1snr_fref_baseline_test.cpp:271,无（2.5 取自 CHECK 消息文本里的字符串）,n/a,n/a,n/a,n/a,无（机械抽取假阳性）,无,不适用,n/a,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-BD1,
achieved_memory_bandwidth_frac,常数,lib/infrastructure/cli/resource_gate.h:164；lib/infrastructure/cli/commands.cpp:906,-1.0,分数 0..1+,—,不适用,>=0 为已测,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用,仅作为未接线时的占位,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
alloc_sample_overhead_ms,常数,lib/infrastructure/cli/memory_report.h:239；lib/infrastructure/cli/monitor.h:448,0.0,毫秒（每 tick 探针开销均值）,overhead_ns_/样本数,%.3f（:262）,≥0；无样本时保持 0.0,不适用（结构性常数）,不适用,不适用,alloc_report.json alloc_sample_overhead_ms,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A2,
amplitude_ratio,常数,lib/infrastructure/cli/memory_growth.h:93,0.0,振幅比 (max-min)/min，无量纲,除零兜底,不适用,umin==0,不适用（结构性常数）,不适用,不适用,无生产适用域,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A2,
avg_equivalent_cores,常数,lib/infrastructure/cli/monitor.h:396；lib/infrastructure/cli/resource_events.h:36；lib/infrastructure/cli/resource_gate.h:160；lib/infrastructure/cli/commands.cpp:913；lib/infrastructure/cli/v6_runtime_contract.h:299,0.0,等效核（无因次核数）,Summary 字段初值,呈现口径 cpu_cores_used 直接取值,samples_<2 时保持 0.0,不适用（结构性常数）,:410-450；契约 denominator.unit=equivalent_cores；:55-69（monitor Summary → payload 的逐字段搬运）；—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用,resource 事件 cpu_cores_used（CLI-004 冻结五字段之一）＋work_core_seconds,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A2；AUD-402-判读-A3；L-06,
bias_dark,常数,eng/tests/integration/v6_p1/v6_p1_integrate_test.cpp:151；eng/tests/integration/v6_p2/v6_p2_integrate_test.cpp:120,50.0,ADU,逐像素,不适用（激励值，但与 bias_light 相等是判据前提）,has_bias_dark=true 时参与系数折叠,无（测试激励值）,无,不适用,OI-02 系数折叠精确形式（同文件 :133 注释）,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-BD1,
block,常数,lib/infrastructure/cli/parser.cpp:416；工程控制/RELEASE-05/GAP_AUDIT.md；lib/infrastructure/cli/parser.cpp；docs/contracts/CONFIG_CONTRACT.md；ASTROCS_DESIGN.md,9.71,不适用（文档章节号，出现在**用户可见错误文案**里）,GAP_AUDIT §9.71 裁决 2 的引用,不适用,retired_perframe_form_message() 的 mosaic/export 分支,不适用（结构性常数：章节号被机械层当浮点值抓了）,载体不在 HEAD 跟踪集：§9.71 属 RELEASE-02/03/04 的 GAP_AUDIT，三份均已在历史中删除（现存唯一副本为 工程控制/RELEASE-05/GAP_AUDIT.md，其内 9.71/9.68/9.74 命中数为 0）；内容仅可从 git 历史恢复（正例对照：ae0f1e63^:工程控制/RELEASE-02/GAP_AUDIT.md 命中「裁决 10」）,不适用,CLI 预检/运行期同文案（:401 自述「唯一实现…同文案、同退出码 3」）,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A2；L-13,预筛已回：全表命中键 block｜有值侧 3（S4 合同schema、S5 代码兜底、S6 登记册）｜候选档 ⑤仅跨侧异值（含同名异义嫌疑）
cpu_pct_mean,常数,lib/infrastructure/cli/resource_recorder.h:78,0.0,等效核×100,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用,仅作为未接线时的占位,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
cpu_pct_peak,常数,lib/infrastructure/cli/resource_recorder.h:81,0.0,等效核×100,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用,仅作为未接线时的占位,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
cpu_seconds,常数,lib/infrastructure/cli/monitor.h:68,0.0,秒（进程 user+sys 累计 CPU）,ProcSample 字段初值,无,:237/:262 覆盖（Windows GetProcessTimes / Linux /proc/self/stat）,不适用（结构性常数）,:67-70 声明；换算链见 :257/:233,不适用,全部 CPU 类被测量的根（eq、per-core 事件、work_core_seconds）,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A2,
d_cpu_seconds,常数,lib/infrastructure/cli/monitor.h:95,0.0,秒,区间 CPU 增量初值,无,:342 无条件相减覆盖,不适用（结构性常数）,:342；eq（:430）与 recorder.cpu_pct 的分子,不适用,ProcessMonitor::tick 内部→等效核族,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A2；L-12,
d_per_thread_cpu_max_seconds,常数,lib/infrastructure/cli/monitor.h:101；lib/infrastructure/cli/monitor.h:86-91；lib/infrastructure/cli/commands.cpp:1069；lib/infrastructure/cli/resource_gate.h:119-121,0.0,秒（区间内单线程累计 CPU 增量最大值）,相邻两次 sample() 的差,无（呈现字段，未定精度）,Windows 恒 0（无 /proc/self/task 等价物，:88 自陈）,不适用（结构性常数：字段零初始化）——但**它承载 0=未观测 的哨兵语义**，故非纯结构,monitor.h:86-91 注释＋:349-354 区间增量算法；消费点 commands.cpp:1069 per_thread_cpu_max_pct,不适用,resource 事件字段 per_thread_cpu_max_pct（CLI 机器通道，进 stdout JSONL）,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A2；L-10,
d_per_thread_cpu_sum_seconds,常数,lib/infrastructure/cli/monitor.h:102,0.0,秒（区间内全部线程 CPU 增量之和 = 等效核秒）,相邻两次 sample() 的差,无,Windows 恒 0；线程退出时负增量被 :350-351 钳 0,不适用（结构性常数）,同上（同簇共用 :101 的判读）,不适用,resource 事件字段 per_thread_cpu_sum_pct；契约判据 ⑦ work_core_seconds 的同类量,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A2；L-10,
dark,常数,eng/tests/integration/v6_p1/v6_p1_integrate_test.cpp:145,100.0,ADU,逐像素（CalPixelInput）,不适用（激励值）,has_dark=true 时参与扣减,无（测试激励值）,无,不适用,Phase-1 校准像素输入,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-BD1,
done_rate,常数,lib/infrastructure/cli/commands.cpp:831,0.0;1.0,1/s,done_rate = wall>0 ? 1.0/wall : 0.0（进度率）,不适用（展示量）,>=0,不适用（非科学量：UI 进度估算）,无（进度条速率估算，不进任何判定）,不适用,CLI 进度显示,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A1,
elapsed_seconds,常数,lib/infrastructure/cli/resource_recorder.h:49,0.0,s,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用,仅作为未接线时的占位,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
err,常数,lib/infrastructure/cli/v6_runtime_contract.h:250；docs/DOCUMENT_INDEX.yaml:1065,10.4,—,—,—,文案,不适用（结构性常数）,—（错误消息里的『§10.4』条款号）,不适用,拒绝文案,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3；L5,
frac_alloc,常数,lib/infrastructure/cli/memory_report.h:587,0.0,无量纲比例,v2 新增字段的 extract 目标,不适用,解析成功前,不适用（结构性常数）,不适用,不适用,validate_alloc_report 的 v2 必含校验,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A2；U-05,
frac_scaled,常数,eng/tests/unit/p1001_real_nodes_test.cpp:3750,−1.0（JSON 缺键哨兵）,无量纲（掩膜像素占比）,逐帧 mask_frac,缺（本队列内未见对它的判据）,"[0,1]；-1=未取到",无（结构性）,无,不适用,同 W3(b) 的标度不变性对照量,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-BD1,
fwhm_px,公式,eng/tests/unit/p1snr/p1snr_linux_test.cpp:188；lib/algorithms/noise_snr/cpp/include/snr_estimator.h:325；docs/science/STAR_DETECTION.md:104,表达式 1.5 + 0.25·i，i=0..8（机械层记作 0.25;1.5）,像素（检测块高斯 FWHM）,逐源（SnrSourceRow）,不适用（激励值）,>0,无（测试激励值）；单位口径有 A/C 锚,单位与换算口径：lib/algorithms/noise_snr/cpp/include/snr_estimator.h:325（fwhm_px = 检测块高斯 FWHM = 2.3548200450309493·sigma）＋ docs/science/STAR_DETECTION.md:104（与 PSF 块 1.230310 相差 1.9140×，禁止跨块混用 DISP-STAR-007）,不适用,F1 天空受限合成集,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-BD1,
gain,常数,eng/tests/integration/v6_p1/v6_p1_integrate_test.cpp:99；docs/science/NOISE_MODEL.md:32,2.0,e⁻/ADU,探测器元数据（逐帧标量）,不适用（激励值）,>0（≤0 时诊断方差式返回 0）,无（测试激励值）,单位锚 docs/science/NOISE_MODEL.md:32/§44；数值 2.0 无出处（也不需要）,不适用,DetectorMetadata.gain（has_gain=true）,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-BD1,预筛已回：全表命中键 gain｜有值侧 2（S5 代码兜底、S6 登记册）
gain_e_per_adu,常数,eng/tests/unit/p1001_real_nodes_test.cpp:91；docs/science/NOISE_MODEL.md:32,1.5,e⁻/ADU,StarField 夹具逐帧标量,不适用（激励值）,>0,无（激励值）；单位与用途有 A/C 锚,"docs/science/NOISE_MODEL.md:32/:44（gain: e-/ADU）；本文件 :94-97 引 §9.41 负责人裁决要求""真实物理噪声过程（电子域 Poisson + 读出 Gaussian + 增益量化到 ADU）""，1.5/5.0 只是使该过程可算的任意正数",不适用,合成帧噪声生成（Poisson 在 e⁻ 域、量化回 ADU）,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-BD1,
hips_pixel_scale,常数,eng/tests/unit/p1_hips_writer_test.cpp:158；lib/infrastructure/aio/include/aio_hips.h:93-96；docs/algorithms/HIPS_WRITER.md:222；lib/infrastructure/aio/tests/p1hips/p1hips_tests_oracle.cpp:584-598；lib/infrastructure/hips_browser/healpix_browser_qt/tools/gen_geometry_truth.py:177；lib/infrastructure/aio/src/hips/aio_hips_writer.cpp:1890,字符串字面量 412.258369，出现在 **== npos**（必须不存在）的断言里,角秒（该字面量的原口径，即被否证的错值）,HiPS properties 键,n/a（负例断言）,n/a,"无（该值在此处是""必须消失的旧缺陷指纹""）",412.258369 的正当出处＝nside=512 叶像素**角秒**尺度：3600·(180/π)·√(π/3)/512，登记于 lib/infrastructure/aio/include/aio_hips.h:93-96（用于 SCI-DRZ-001 的 1–2× 过采样帧尺度上界）与 docs/algorithms/HIPS_WRITER.md:222,不适用,M2b-B-03 回归锁定（产品键单位）,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-BD1,
intra_snr（Phase2 帧内项）,算法,lib/infrastructure/scheduler/src/module_adapters.cpp:11534,恒 1.0（in.sparse = nullptr）,无量纲,actual_snr = frame_snr × intra_snr,不适用,稀疏 SNR 层未接入生产数据面 ⇒ 逐帧常数权,不适用（结构性：未接线的降级路径，且已显式声明 uncertainty_available=false、weight_source=frame_snr）,weight_chain.cpp:714 double intra = 1.0、:739、:779；module_adapters.cpp:11534 in.sparse=nullptr,不适用,Phase2 叠加权（臂 B）,是（第②层复核改判）,,AUD-202-SNR核验 AUD202-003；复核-AUD202 V1；复核注记：是（复核改判：臂 B 判为「已声明降级＝非缺陷」，与臂 A 拆开定级）,
io_await_ms,常数,lib/infrastructure/cli/resource_gate.h:169,0.0,ms,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用,仅作为未接线时的占位,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
io_wait_pct,常数,lib/infrastructure/cli/resource_recorder.h:70,0.0,等效核×100,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用,仅作为未接线时的占位,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
io_wait_pct_mean,常数,lib/infrastructure/cli/resource_recorder.h:91,0.0,等效核×100,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用,仅作为未接线时的占位,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
io_wait_percent,常数,lib/infrastructure/cli/v6_runtime_contract.h:314,0.0,%,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用,仅作为未接线时的占位,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
kMemoryBudgetPercentMax,常数,eng/packaging/config/runtime_resources_generated.h.in:18；eng/packaging/config/runtime_resources.json:18,100,%（值域端点）,内存预算百分比的合同值域上界,整数,"[1,100]；生成头常量",不适用（结构性常数：百分数值域上界）,同上（与 :17 同一条款、同一消费链；两行合用一条出处）,不适用,调度器内存准入预算值域校验,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A1,
kMemoryBudgetPercentMin,常数,eng/packaging/config/runtime_resources_generated.h.in:17；eng/packaging/config/runtime_resources.json:17；lib/algorithms/platesolve/cpp/ipv/test/CMakeLists.txt:162；lib/infrastructure/scheduler/src/memory_budget.cpp；eng/packaging/config/defaults.json；eng/tools/quality/budget_sources.json:26-30,1,%（值域端点）,内存预算百分比的合同值域下界,整数,"[1,100]；生成头常量，非配置键",不适用（结构性常数：百分数值域端点）,确认不进科学语义：只做区间校验端点；唯一消费链 = eng/packaging/config/runtime_resources.json:17（memory_budget_percent=95）→ 根 CMakeLists.txt:162 string(JSON) → :172-173 configure_file → memory_budget.cpp 读 kMemoryBudgetPercentDefault,不适用,调度器内存准入预算值域校验,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A1,
kMon001NotSampled,常数,lib/infrastructure/cli/resource_gate.h:121,-1.0,无量纲（哨兵）,—,不适用,v>-1 记为已采样,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用,仅作为未接线时的占位,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
legacy_dex,公式,eng/tests/unit/p1snr/p1snr_linux_test.cpp:296,表达式 1.0/(ln10·0.05)，即 1/(2.302585092994045684·sigma)（机械层记作 1.0）,无量纲（伪 SNR）,逐帧,判据为 >1e-6（必须不等）,>0,无（负例构造）,行内 :292-295 已登记意图：旧构造 1/(ln10·sigma_residual) 是常数、与目录无关，必须被否证,不适用,C2 旧定义否证,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-BD1,
limit,公式,eng/tests/unit/mem_wire_test.cpp:319,表达式 per_node + per_node/2（机械层记作 1.5）,字节（同 kLimit 域）,调度器上限,不适用,>0,无（结构性，且已是导出式）,"无（行内注释 :319 说明""同时最多 1 个在途（1.5×）""，且 per_node 来自估算器 :317，非硬编码）",不适用,"回压判据的""独立输入""侧",否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-BD1,
max_dev0,容差,eng/tests/unit/p1001_real_nodes_test.cpp:1516,0.0,无量纲（支持度偏差绝对值上确界）,逐像素 max 归约（tile 0）,不适用,非负,无（结构性）,无,不适用,HiPS tile support 面回归,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-BD1,
max_pt,常数,eng/tests/system/v6_runtime/v6_runtime_resource_record_test.cpp:106；eng/contracts/resource_gate_v1.json；lib/algorithms/platesolve/cpp/ipv/test/CMakeLists.txt:135-154,0.0,无量纲（每线程 CPU 占用百分比的累加上确界）,逐样本 max,不适用,非负,无（结构性）,无,不适用,资源记录回归（per_thread_cpu_max_pct 等 summary 键）,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-BD1,
max_recip,容差,eng/tests/unit/p1001_real_nodes_test.cpp:3241,0.0,无量纲（|v·w−1| 的上确界，variance×ivar 互反性偏差）,逐像素 max 归约,不适用（累加器初值）,非负,无（结构性）,无,不适用,IVAR-002(a) 互反性判据,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-BD1,
max_rel,容差,eng/tests/cpu/avx2/provider_avx2_oracle_main.cpp:262,0.0f,无量纲（相对偏差）,逐元素 max 归约,不适用,非负上确界累加器,无（结构性）,无,不适用,AVX2 vs baseline 逐元素最大相对差统计,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-BD1,
median_throughput_gbps,常数,lib/infrastructure/acr/qualification/profile_schema.hpp:81；lib/infrastructure/acr/qualification/profile_schema.hpp:41；lib/algorithms/platesolve/cpp/ipv/test/CMakeLists.txt:18,0.0,GB/s,聚合统计成员初值（由 aggregate 覆盖）,不适用,构造期哨兵,不适用（结构性常数，同簇合并）,同 throughput_gbps（profile_schema.hpp:41/:81/:82 三行共用一条判定；ACR DORMANT 由根 CMakeLists.txt:18 承载）,不适用,ACR 基准统计（生产不可达）,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A1,
one_worker_ns,常数,lib/infrastructure/cli/resource_gate.h:175,-1.0,ns,—,不适用,>0 才参与,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用,仅作为未接线时的占位,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
pass,常数,lib/infrastructure/cli/commands.cpp:966,0.0,count（达标样本数）,pass 计数初始化：逐样本比 kMon001UtilSampleMinPercent/100 后 ++pass,不适用,>=0,不适用（结构性常数）,阈值本身有契约单源（见 :974 行），本行的 0.0 只是累加器初值 ⇒ 无常数待出处,不适用,CLI 诊断统计,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A1,
peak,常数,lib/infrastructure/cli/memory_report.h:579,0.0,字节 / 秒 / 比例（同行四变量）,extract_* 失败时的目标变量初值,不适用,解析成功前,不适用（结构性常数）,不适用,不适用,validate_alloc_report 比对基准,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A2,
per_thread_cpu_max_pct,常数,lib/infrastructure/cli/resource_recorder.h:68,0.0,等效核×100,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用,仅作为未接线时的占位,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
per_thread_cpu_max_pct_peak,常数,lib/infrastructure/cli/resource_recorder.h:88,0.0,等效核×100,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用,仅作为未接线时的占位,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
per_thread_cpu_max_seconds,常数,lib/infrastructure/cli/monitor.h:90；lib/infrastructure/cli/commands.cpp:1069；lib/infrastructure/cli/memory_report.h:224-225；lib/infrastructure/cli/v6_runtime_contract.h:305,0.0,秒,单线程累计 CPU 峰值初值,无,Windows 恒 0（:88 自陈无廉价等价物）,不适用（结构性常数）,:316-319 由 thread_cpu 聚合；下游 commands.cpp:1069；—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用,resource 事件 per_thread_cpu_max_pct,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A2；AUD-402-判读-A3；L-10,
per_thread_cpu_sum_pct,常数,lib/infrastructure/cli/resource_recorder.h:69,0.0,等效核×100,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用,仅作为未接线时的占位,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
per_thread_cpu_sum_pct_mean,常数,lib/infrastructure/cli/resource_recorder.h:89,0.0,等效核×100,—,不适用,n>=0,不适用（结构性常数）,—（不进正式链路的观测字段初值：值由调用方在采样后覆盖，本身不承载判据或科学量）,不适用,仅作为未接线时的占位,否（判读层逐行已判，未过第②层复核）,,AUD-402-判读-A3,
